_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,explain_your_choice_optional,vote_for_your_preferred_candidate,what_sound_does_a_kitty_cat_make,which_statement_would_candidate_a_agree_with_more,defense_a,defense_b,govt_jobs_a,govt_jobs_b,gun_control_a,gun_control_b,healthcare_a,healthcare_b,ideology_a,ideology_b,party_affiliation_a,party_affiliation_b,uuid_a,uuid_b
626127966,12/15/2014 00:52:44,1502569081,12/15/2014 00:52:32,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate B,meow,,4,3,5,4,4,4,6,4,Slightly conservative,Slightly liberal,Republican,Other,2,0
626127967,12/15/2014 00:52:31,1502568956,12/15/2014 00:52:17,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate A,meow,,4,2,5,3,4,1,6,2,Slightly conservative,Liberal,Republican,Democrat,2,1
626127968,12/15/2014 00:53:45,1502569617,12/15/2014 00:53:36,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate B,meow,,4,4,5,4,4,4,6,3,Slightly conservative,Slightly liberal,Republican,Other,2,3
626127969,12/15/2014 00:53:35,1502569507,12/15/2014 00:53:26,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate A,meow,,4,4,5,6,4,4,6,6,Slightly conservative,Slightly conservative,Republican,Republican,2,4
626127970,12/15/2014 00:53:54,1502569724,12/15/2014 00:53:45,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate B,meow,,4,2,5,2,4,1,6,2,Slightly conservative,Liberal,Republican,Democrat,2,5
626127971,12/15/2014 00:53:13,1502569289,12/15/2014 00:53:00,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate B,meow,Candidate A would be indifferent between the two statements above.,4,3,4,4,4,4,3,4,Slightly liberal,Slightly liberal,Other,Other,3,0
626127972,12/15/2014 00:52:07,1502568820,12/15/2014 00:51:52,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate B,meow,,4,2,4,3,4,1,3,2,Slightly liberal,Liberal,Other,Democrat,3,1
626127973,12/15/2014 00:53:25,1502569420,12/15/2014 00:53:14,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate A,meow,Candidate A would be indifferent between the two statements above.,4,4,4,5,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,2
626127974,12/15/2014 00:52:59,1502569202,12/15/2014 00:52:45,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate A,meow,Candidate A would be indifferent between the two statements above.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626127975,12/15/2014 00:52:17,1502568890,12/15/2014 00:52:07,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate B,meow,,4,2,4,2,4,1,3,2,Slightly liberal,Liberal,Other,Democrat,3,5
626127976,12/15/2014 01:09:55,1502576512,12/15/2014 01:09:45,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate B,meow,All citizens should purchase private health insurance.,4,3,6,4,4,4,6,4,Slightly conservative,Slightly liberal,Republican,Other,4,0
626127977,12/15/2014 01:09:13,1502576256,12/15/2014 01:09:04,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate B,meow,All citizens should purchase private health insurance.,4,2,6,3,4,1,6,2,Slightly conservative,Liberal,Republican,Democrat,4,1
626127978,12/15/2014 01:08:30,1502575917,12/15/2014 01:08:19,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate B,meow,All citizens should purchase private health insurance.,4,4,6,5,4,4,6,6,Slightly conservative,Slightly conservative,Republican,Republican,4,2
626127979,12/15/2014 01:09:25,1502576311,12/15/2014 01:07:33,false,clixsense,1.0,22578215,USA,NJ,Pitman,173.61.36.5,I'd pick neither.,Candidate A,meow,All citizens should purchase private health insurance.,4,4,6,4,4,4,6,3,Slightly conservative,Slightly liberal,Republican,Other,4,3
626127980,12/15/2014 01:09:03,1502576151,12/15/2014 01:08:54,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate B,meow,All citizens should purchase private health insurance.,4,2,6,2,4,1,6,2,Slightly conservative,Liberal,Republican,Democrat,4,5
626127981,12/15/2014 01:09:44,1502576426,12/15/2014 01:09:34,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate B,meow,The government should provide health care for all citizens.,2,3,2,4,1,4,2,4,Liberal,Slightly liberal,Democrat,Other,5,0
626127982,12/15/2014 01:09:24,1502576310,12/15/2014 01:09:14,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate B,meow,The government should provide health care for all citizens.,2,2,2,3,1,1,2,2,Liberal,Liberal,Democrat,Democrat,5,1
626127983,12/15/2014 01:08:42,1502575982,12/15/2014 01:08:32,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate A,meow,The government should provide health care for all citizens.,2,4,2,5,1,4,2,6,Liberal,Slightly conservative,Democrat,Republican,5,2
626127984,12/15/2014 01:09:34,1502576380,12/15/2014 01:09:26,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate B,meow,The government should provide health care for all citizens.,2,4,2,4,1,4,2,3,Liberal,Slightly liberal,Democrat,Other,5,3
626127985,12/15/2014 01:08:53,1502576079,12/15/2014 01:08:44,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate A,meow,The government should provide health care for all citizens.,2,4,2,6,1,4,2,6,Liberal,Slightly conservative,Democrat,Republican,5,4
